pattern,pattern_length,frequency,success_rate,next_positions,next_success_rate,bone_count,sample_games
8-10-12,3,1,0.000,"17",0.000,4,"cml76alnl003n290sxdtt3pmp"
10-12-17,3,1,0.000,"",0.000,4,"cml76alnl003n290sxdtt3pmp"
8-10-12-17,4,1,0.000,"",0.000,4,"cml76alnl003n290sxdtt3pmp"
15-20,2,1,0.000,"24",0.000,4,"cml768qef0026290sol8vcwka"
20-24,2,1,0.000,"",0.000,4,"cml768qef0026290sol8vcwka"
3-15-20,3,1,0.000,"24",0.000,4,"cml768qef0026290sol8vcwka"
15-20-24,3,1,0.000,"",0.000,4,"cml768qef0026290sol8vcwka"
3-15-20-24,4,1,0.000,"",0.000,4,"cml768qef0026290sol8vcwka"
1-8,2,1,0.000,"14",0.000,4,"cml766te4000q290sjmhz93vi"
1-8-14,3,1,0.000,"23",0.000,4,"cml766te4000q290sjmhz93vi"
1-8-14-23,4,1,0.000,"",0.000,4,"cml766te4000q290sjmhz93vi"
4-12,2,1,0.000,"13",0.000,4,"cml735mxi000q29agjrpalorv"
4-12-13,3,1,0.000,"17",0.000,4,"cml735mxi000q29agjrpalorv"
12-13-17,3,1,0.000,"",0.000,4,"cml735mxi000q29agjrpalorv"
4-12-13-17,4,1,0.000,"",0.000,4,"cml735mxi000q29agjrpalorv"
5-18,2,1,0.000,"21",0.000,4,"cml72ci2y062n29l81pp1at9u"
2-5-18,3,1,0.000,"21",0.000,4,"cml72ci2y062n29l81pp1at9u"
5-18-21,3,1,0.000,"",0.000,4,"cml72ci2y062n29l81pp1at9u"
2-5-18-21,4,1,0.000,"",0.000,4,"cml72ci2y062n29l81pp1at9u"
4-9-6,3,1,1.000,"2",1.000,4,"cml72c4di061x29l8nd4f50uq"
4-9-6-2,4,1,1.000,"",0.000,4,"cml72c4di061x29l8nd4f50uq"
7-11,2,1,0.000,"14",0.000,4,"cml72af69061229l8nng8mou0"
2-7-11,3,1,0.000,"14",0.000,4,"cml72af69061229l8nng8mou0"
7-11-14,3,1,0.000,"18",0.000,4,"cml72af69061229l8nng8mou0"
6-2-7-11,4,1,0.000,"14",0.000,4,"cml72af69061229l8nng8mou0"
2-7-11-14,4,1,0.000,"18",0.000,4,"cml72af69061229l8nng8mou0"
7-11-14-18,4,1,0.000,"",0.000,4,"cml72af69061229l8nng8mou0"
18-24,2,1,0.000,"",0.000,4,"cml71p7ke000q29koye5xmz2y"
14-18-24,3,1,0.000,"",0.000,4,"cml71p7ke000q29koye5xmz2y"
11-14-18-24,4,1,0.000,"",0.000,4,"cml71p7ke000q29koye5xmz2y"
17-19,2,1,0.000,"20",0.000,4,"cml71g0si003429y8tpfx6zjy"
19-20,2,1,0.000,"",0.000,4,"cml71g0si003429y8tpfx6zjy"
12-17-19,3,1,0.000,"20",0.000,4,"cml71g0si003429y8tpfx6zjy"
17-19-20,3,1,0.000,"",0.000,4,"cml71g0si003429y8tpfx6zjy"
12-17-19-20,4,1,0.000,"",0.000,4,"cml71g0si003429y8tpfx6zjy"
4-2,2,1,1.000,"9",1.000,4,"cml71fegf002d29y85mhirn7k"
4-2-9,3,1,1.000,"6",1.000,4,"cml71fegf002d29y85mhirn7k"
4-2-9-6,4,1,1.000,"",0.000,4,"cml71fegf002d29y85mhirn7k"
